(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(integer),(-),(-),(-),(g*min^-1*x^sec^-1),(L*min^-1*x^sec^-1),(integer),(integer),(integer),(V),(bool),(bool),(bool),(bool),(bool)
SampleTime,UnixTime,UTCDateTime,VolFlow,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,gpsspeed,gpsquality,GPSpdop,GPShdop,GPSvdop,MFlowDelta,VFlowDelta,MFSADS,VInADS,PumpADS,MFSVolt,PumpsON,Dead,BCS1,BCS2,BC_NPG
0:00:25,1591122646,2020-06-02T18:30:50,0.997,0.42,28.10,28.46,29.47,846.60,846.78,100.650002,26.72,0.9748,555,0,9.378,0.97189,2.88,32834,40.542057,-105.098208,1545.5,7,0.100744,1,14.0,9.2,10.6,-0.003,-0.003,10476,5874,8553,1.309,1,0,0,1,0
0:00:26,1591122647,2020-06-02T18:30:51,1.001,0.43,28.11,28.47,29.44,846.60,846.89,103.599998,26.69,0.9749,555,0,9.377,0.97551,2.88,32834,40.542058,-105.098211,1545.4,7,0.089436,1,14.0,9.2,10.6,0.001,0.001,10495,5874,8552,1.312,1,0,0,1,0
0:00:27,1591122648,2020-06-02T18:30:52,0.998,0.45,28.11,28.46,29.45,846.62,846.83,101.483330,26.69,0.9748,555,0,9.377,0.97265,2.88,32834,40.542060,-105.098221,1544.7,7,0.466712,1,14.0,9.1,10.5,-0.002,-0.002,10480,5874,8552,1.310,1,0,0,1,0
0:00:28,1591122649,2020-06-02T18:30:54,1.007,0.47,28.11,28.47,29.47,846.60,846.83,102.933334,26.66,0.9748,556,0,9.377,0.98200,2.88,32834,40.542060,-105.098228,1544.1,6,0.502692,1,21.8,15.5,15.3,0.007,0.007,10529,5874,8552,1.316,1,0,0,1,0
0:00:29,1591122650,2020-06-02T18:30:55,0.995,0.48,28.13,28.47,29.49,846.68,846.83,101.300003,26.64,0.9747,555,0,9.372,0.96961,2.88,32834,40.542059,-105.098229,1544.0,7,0.313026,1,13.9,9.1,10.5,-0.005,-0.005,10464,5874,8547,1.308,1,0,0,1,0
0:00:30,1591122651,2020-06-02T18:30:56,1.006,0.50,28.13,28.48,29.44,846.62,846.85,102.933334,26.62,0.9748,556,0,9.377,0.98028,2.88,32834,40.542057,-105.098231,1543.8,6,0.263682,1,21.8,15.5,15.3,0.006,0.006,10520,5874,8552,1.315,1,0,0,1,0
0:00:31,1591122652,2020-06-02T18:30:57,1.000,0.52,28.13,28.47,29.45,846.62,846.80,103.099998,26.60,0.9747,556,0,9.371,0.97474,2.88,32834,40.542054,-105.098230,1543.8,6,0.155228,1,21.8,15.5,15.3,0.000,0.000,10491,5874,8546,1.311,1,0,0,1,0
0:00:32,1591122653,2020-06-02T18:30:58,0.999,0.53,28.13,28.48,29.51,846.57,846.89,100.766670,26.59,0.9748,556,0,9.370,0.97341,2.88,32834,40.542053,-105.098229,1543.8,6,0.062194,1,21.7,15.5,15.3,-0.001,-0.001,10484,5874,8545,1.311,1,0,0,1,0
0:00:33,1591122654,2020-06-02T18:31:00,0.996,0.55,28.14,28.48,29.52,846.68,846.93,103.083336,26.57,0.9748,556,0,9.370,0.97094,2.88,32834,40.542056,-105.098236,1543.7,6,0.238496,1,21.7,15.4,15.3,-0.004,-0.004,10471,5874,8545,1.309,1,0,0,1,0
0:00:34,1591122655,2020-06-02T18:31:01,1.001,0.57,28.15,28.48,29.52,846.65,846.93,102.750000,26.58,0.9748,556,0,9.370,0.97608,2.88,32834,40.542058,-105.098240,1543.5,6,0.302746,1,21.7,15.4,15.2,0.001,0.001,10498,5874,8545,1.312,1,0,0,1,0
0:00:35,1591122656,2020-06-02T18:31:02,0.995,0.58,28.15,28.47,29.52,846.57,846.85,101.000000,26.55,0.9747,556,0,9.371,0.96980,2.88,32834,40.542066,-105.098250,1543.4,7,0.522224,1,13.8,9.0,10.4,-0.005,-0.005,10465,5874,8546,1.308,1,0,0,1,0
0:00:36,1591122657,2020-06-02T18:31:03,1.003,0.60,28.15,28.47,29.50,846.54,846.97,103.433334,26.53,0.9749,556,0,9.371,0.97779,2.88,32834,40.542073,-105.098259,1543.3,7,0.804924,1,13.8,9.0,10.4,0.003,0.003,10507,5874,8546,1.313,1,0,0,1,0
0:00:37,1591122658,2020-06-02T18:31:04,0.998,0.62,28.16,28.48,29.57,846.65,846.89,103.599998,26.50,0.9747,556,0,9.372,0.97284,2.88,32834,40.542084,-105.098271,1543.2,7,1.014636,1,13.8,9.0,10.4,-0.002,-0.002,10481,5874,8547,1.310,1,0,0,1,0
0:00:38,1591122659,2020-06-02T18:31:05,1.001,0.63,28.16,28.47,29.56,846.62,846.89,101.783333,26.51,0.9747,556,0,9.371,0.97608,2.88,32834,40.542085,-105.098272,1543.0,7,0.837820,1,13.7,9.0,10.4,0.001,0.001,10498,5874,8546,1.312,1,0,0,1,0
